GREVESSE 93 MIX X=0.35  Z=0.10
16 17 3.350 -7.0  -4.750  -4.846  -4.898  -4.901  -4.862  -4.775  -4.552  -4.082
  -3.401  -2.708  -2.124  -1.743  -1.564  -1.493  -1.465  -1.451  -1.443
17 17 3.300 -7.0  -5.016  -4.991  -4.961  -4.883  -4.643  -4.148  -3.455  -2.752
  -2.190  -1.865  -1.734  -1.686  -1.668  -1.659  -1.655  -1.652  -1.650
18 17 3.250 -7.0  -5.092  -4.969  -4.618  -4.014  -3.278  -2.609  -2.171  -1.983
  -1.919  -1.897  -1.887  -1.882  -1.880  -1.878  -1.877  -1.875  -1.875
19 17 3.200 -7.0  -4.311  -3.578  -2.884  -2.423  -2.236  -2.177  -2.158  -2.148
  -2.144  -2.143  -2.142  -2.143  -2.143  -2.143  -2.142  -2.142   -.707
20 17 3.150 -7.0  -2.447  -2.341  -2.309  -2.299  -2.295  -2.293  -2.293  -2.293
  -2.294  -2.293  -2.295   -.983   -.775   -.587   -.468    .156    .579
21 17 3.100 -7.0  -2.291  -2.291  -2.290  -2.291  -2.291  -2.292  -1.238   -.953
   -.703   -.184    .222    .306    .524    .692    .788    .829    .866
22 17 3.050 -7.0  -2.292  -2.291  -1.070   -.804   -.481    .106    .334    .444
    .550    .642    .728    .767    .804    .812    .813    .814    .814
23 17 3.000 -7.0   -.146    .060    .289    .434    .527    .607    .687    .749
    .757    .759    .760    .760    .760    .760    .760    .760    .760
GREVESSE 93 MIX X=0.35  Z=0.02
 1 17 4.100 -7.0   -.677   -.672   -.657   -.614   -.504   -.282    .058    .491
    .946   1.380   1.756   2.044   2.246   2.390   2.508   2.622   2.750
 2 17 4.050 -7.0   -.715   -.737   -.738   -.676   -.517   -.248    .131    .555
    .970   1.326   1.591   1.774   1.905   2.010   2.114   2.231   2.372
 3 17 4.000 -7.0   -.808   -.804   -.761   -.662   -.483   -.208    .147    .513
    .828   1.059   1.218   1.336   1.436   1.538   1.653   1.791   1.961
 4 17 3.950 -7.0   -.825   -.797   -.742   -.641   -.476   -.243    .018    .248
    .420    .548    .651    .754    .864    .989   1.137   1.312   1.521
 5 17 3.900 -7.0   -.815   -.786   -.741   -.669   -.575   -.471   -.381   -.303
   -.225   -.138   -.034    .092    .238    .405    .595    .810   1.052
 6 17 3.850 -7.0   -.819   -.815   -.824   -.854   -.910   -.972  -1.018  -1.027
   -.983   -.890   -.752   -.584   -.392   -.182    .046    .300    .585
 7 17 3.800 -7.0   -.912  -1.006  -1.142  -1.303  -1.471  -1.624  -1.740  -1.788
  -1.752  -1.632  -1.456  -1.245  -1.011   -.762   -.485   -.173    .181
 8 17 3.750 -7.0  -1.289  -1.489  -1.702  -1.916  -2.124  -2.312  -2.455  -2.520
  -2.478  -2.341  -2.131  -1.879  -1.590  -1.261   -.888   -.481   -.072
 9 17 3.700 -7.0  -1.922  -2.152  -2.380  -2.601  -2.808  -2.991  -3.131  -3.190
  -3.138  -2.971  -2.706  -2.360  -1.951  -1.514  -1.086   -.686   -.314
10 17 3.650 -7.0  -2.675  -2.894  -3.104  -3.297  -3.473  -3.620  -3.716  -3.721
